"Host","Pigment","Comparison","diff","lwr","upr","p adj"
"22.1 -","PC","V 10X-C",-3409.25,-6835.70039570936,17.2003957093625,0.0515708265071838
"22.1 -","PC","V 1X-C",-5212.861,-8639.31139570936,-1786.41060429064,0.0012449926051108
"22.1 -","PC","V 5X-C",-4180.69,-7607.14039570936,-754.239604290637,0.0116447283223087
"22.1 -","PC","V 1X-V 10X",-1803.611,-5230.06139570936,1622.83939570936,0.496877333134952
"22.1 -","PC","V 5X-V 10X",-771.44,-4197.89039570936,2655.01039570936,0.929394780394188
"22.1 -","PC","V 5X-V 1X",1032.171,-2394.27939570936,4458.62139570936,0.848711984711423
"22.1 -","CHL","V 10X-C",-230.438,-495.517831129424,34.6418311294243,0.107529748642831
"22.1 -","CHL","V 1X-C",-365.877,-630.956831129424,-100.797168870576,0.00364653628675171
"22.1 -","CHL","V 5X-C",-289.621,-554.700831129424,-24.5411688705756,0.0277151393679166
"22.1 -","CHL","V 1X-V 10X",-135.439,-400.518831129424,129.640831129424,0.522116329086498
"22.1 -","CHL","V 5X-V 10X",-59.1829999999999,-324.262831129424,205.896831129424,0.930982574943371
"22.1 -","CHL","V 5X-V 1X",76.2560000000001,-188.823831129424,341.335831129424,0.865321752738646
"52.2 +","PC","V 10X-C",-325.98,-3327.93225855964,2675.97225855964,0.991141677845385
"52.2 +","PC","V 1X-C",390.789999999999,-2611.16225855964,3392.74225855964,0.984965498550429
"52.2 +","PC","V 5X-C",-264.01,-3265.96225855964,2737.94225855964,0.995237986844829
"52.2 +","PC","V 1X-V 10X",716.77,-2285.18225855964,3718.72225855964,0.917272291111576
"52.2 +","PC","V 5X-V 10X",61.9700000000003,-2939.98225855964,3063.92225855964,0.999937078986882
"52.2 +","PC","V 5X-V 1X",-654.799999999999,-3656.75225855964,2347.15225855964,0.935225708272299
"52.2 +","CHL","V 10X-C",-17.693,-298.476657022474,263.090657022474,0.998228979410956
"52.2 +","CHL","V 1X-C",42.196,-238.587657022474,322.979657022474,0.977245384559926
"52.2 +","CHL","V 5X-C",-13.983,-294.766657022474,266.800657022474,0.999121942777854
"52.2 +","CHL","V 1X-V 10X",59.889,-220.894657022474,340.672657022474,0.939076883142421
"52.2 +","CHL","V 5X-V 10X",3.70999999999998,-277.073657022474,284.493657022474,0.999983488342744
"52.2 +","CHL","V 5X-V 1X",-56.179,-336.962657022474,224.604657022474,0.948924492600705
